,BBDD,Recontrol,Cantidad,Porcentaje (%),var,Sector
0,B,B,830504,88.57,N_TM102,1
1,MC,MC,48594,5.18,N_TM102,1
2,D,B,28968,3.09,N_TM102,1
3,B,D,17946,1.91,N_TM102,1
4,D,D,5148,0.55,N_TM102,1
5,M,M,2901,0.31,N_TM102,1
6,MC,D,1792,0.19,N_TM102,1
7,B,M,1103,0.12,N_TM102,1
8,MC,M,326,0.03,N_TM102,1
9,D,M,242,0.03,N_TM102,1
10,M,D,66,0.01,N_TM102,1
11,M,B,60,0.01,N_TM102,1
0,B,B,799508,86.19,N_TM103,1
1,MC,MC,45064,4.86,N_TM103,1
2,D,B,24906,2.68,N_TM103,1
3,B,D,21778,2.35,N_TM103,1
4,B,M,21048,2.27,N_TM103,1
5,D,D,7285,0.79,N_TM103,1
6,M,M,4892,0.53,N_TM103,1
7,MC,D,1598,0.17,N_TM103,1
8,D,M,866,0.09,N_TM103,1
9,MC,M,523,0.06,N_TM103,1
10,M,D,98,0.01,N_TM103,1
11,M,B,71,0.01,N_TM103,1
0,B,B,735741,88.77,N_TM104,1
1,D,B,38820,4.68,N_TM104,1
2,B,D,17538,2.12,N_TM104,1
3,MC,MC,16271,1.96,N_TM104,1
4,B,M,8859,1.07,N_TM104,1
5,D,D,5526,0.67,N_TM104,1
6,M,M,4195,0.51,N_TM104,1
7,MC,D,905,0.11,N_TM104,1
8,MC,M,400,0.05,N_TM104,1
9,D,M,378,0.05,N_TM104,1
10,M,D,116,0.01,N_TM104,1
11,M,B,75,0.01,N_TM104,1
0,B,B,737959,89.69,N_TM105,1
1,D,B,25978,3.16,N_TM105,1
2,MC,MC,20766,2.52,N_TM105,1
3,B,D,15208,1.85,N_TM105,1
4,B,M,8422,1.02,N_TM105,1
5,M,M,7301,0.89,N_TM105,1
6,D,D,3552,0.43,N_TM105,1
7,D,M,1957,0.24,N_TM105,1
8,MC,D,755,0.09,N_TM105,1
9,MC,M,576,0.07,N_TM105,1
10,M,D,257,0.03,N_TM105,1
11,M,B,17,0.0,N_TM105,1
0,B,B,735434,89.21,N_TM106,1
1,D,B,29982,3.64,N_TM106,1
2,B,D,19001,2.3,N_TM106,1
3,MC,MC,15693,1.9,N_TM106,1
4,B,M,9792,1.19,N_TM106,1
5,M,M,6250,0.76,N_TM106,1
6,D,D,5526,0.67,N_TM106,1
7,MC,M,1039,0.13,N_TM106,1
8,MC,D,625,0.08,N_TM106,1
9,M,B,516,0.06,N_TM106,1
10,D,M,267,0.03,N_TM106,1
11,M,D,229,0.03,N_TM106,1
0,B,B,657561,92.17,N_TM107,1
1,B,D,15561,2.18,N_TM107,1
2,MC,MC,11567,1.62,N_TM107,1
3,D,B,11074,1.55,N_TM107,1
4,B,M,9962,1.4,N_TM107,1
5,D,D,5371,0.75,N_TM107,1
6,M,M,795,0.11,N_TM107,1
7,MC,D,625,0.09,N_TM107,1
8,MC,M,509,0.07,N_TM107,1
9,D,M,330,0.05,N_TM107,1
10,M,D,32,0.0,N_TM107,1
11,M,B,8,0.0,N_TM107,1
0,B,B,630570,88.7,N_TM108,1
1,B,M,27036,3.8,N_TM108,1
2,B,D,16534,2.33,N_TM108,1
3,MC,MC,15593,2.19,N_TM108,1
4,D,B,13706,1.93,N_TM108,1
5,D,D,4622,0.65,N_TM108,1
6,MC,M,1025,0.14,N_TM108,1
7,D,M,703,0.1,N_TM108,1
8,M,M,535,0.08,N_TM108,1
9,MC,D,518,0.07,N_TM108,1
10,M,B,22,0.0,N_TM108,1
11,M,D,11,0.0,N_TM108,1
0,B,B,630009,88.55,N_TM109,1
1,B,M,26155,3.68,N_TM109,1
2,B,D,19616,2.76,N_TM109,1
3,D,B,14984,2.11,N_TM109,1
4,MC,MC,9962,1.4,N_TM109,1
5,D,D,8022,1.13,N_TM109,1
6,D,M,925,0.13,N_TM109,1
7,MC,M,771,0.11,N_TM109,1
8,M,M,629,0.09,N_TM109,1
9,MC,D,336,0.05,N_TM109,1
10,M,D,18,0.0,N_TM109,1
11,M,B,9,0.0,N_TM109,1
0,B,B,1166942,99.05,N_PT101,1
1,MC,MC,11156,0.95,N_PT101,1
0,B,B,985103,99.03,N_PT102,1
1,MC,MC,9615,0.97,N_PT102,1
0,B,B,988439,99.0,N_PT103,1
1,MC,MC,9950,1.0,N_PT103,1
0,B,B,427879,91.57,N_TM102,2
1,MC,MC,15175,3.25,N_TM102,2
2,D,B,13555,2.9,N_TM102,2
3,B,D,6294,1.35,N_TM102,2
4,D,D,2266,0.48,N_TM102,2
5,M,M,1524,0.33,N_TM102,2
6,B,M,212,0.05,N_TM102,2
7,MC,D,169,0.04,N_TM102,2
8,MC,M,78,0.02,N_TM102,2
9,M,B,76,0.02,N_TM102,2
10,M,D,28,0.01,N_TM102,2
11,D,M,16,0.0,N_TM102,2
0,B,B,413646,88.35,N_TM103,2
1,MC,MC,16931,3.62,N_TM103,2
2,D,B,16466,3.52,N_TM103,2
3,B,D,9170,1.96,N_TM103,2
4,B,M,4971,1.06,N_TM103,2
5,D,D,4382,0.94,N_TM103,2
6,M,M,1628,0.35,N_TM103,2
7,MC,D,687,0.15,N_TM103,2
8,D,M,125,0.03,N_TM103,2
9,MC,M,92,0.02,N_TM103,2
10,M,B,44,0.01,N_TM103,2
11,M,D,38,0.01,N_TM103,2
0,B,B,354476,85.91,N_TM104,2
1,D,B,35815,8.68,N_TM104,2
2,B,D,7251,1.76,N_TM104,2
3,MC,MC,6353,1.54,N_TM104,2
4,D,D,3547,0.86,N_TM104,2
5,B,M,3285,0.8,N_TM104,2
6,M,M,1431,0.35,N_TM104,2
7,M,B,206,0.05,N_TM104,2
8,MC,D,123,0.03,N_TM104,2
9,D,M,53,0.01,N_TM104,2
10,M,D,46,0.01,N_TM104,2
11,MC,M,21,0.01,N_TM104,2
0,B,B,376780,92.21,N_TM105,2
1,D,B,12209,2.99,N_TM105,2
2,MC,MC,6257,1.53,N_TM105,2
3,B,D,5212,1.28,N_TM105,2
4,M,M,3378,0.83,N_TM105,2
5,B,M,3017,0.74,N_TM105,2
6,D,D,1283,0.31,N_TM105,2
7,D,M,253,0.06,N_TM105,2
8,M,D,77,0.02,N_TM105,2
9,MC,D,69,0.02,N_TM105,2
10,M,B,46,0.01,N_TM105,2
11,MC,M,21,0.01,N_TM105,2
0,B,B,358053,86.52,N_TM106,2
1,D,B,31087,7.51,N_TM106,2
2,B,D,7950,1.92,N_TM106,2
3,MC,MC,6474,1.56,N_TM106,2
4,D,D,4176,1.01,N_TM106,2
5,B,M,3229,0.78,N_TM106,2
6,M,M,2226,0.54,N_TM106,2
7,M,B,390,0.09,N_TM106,2
8,MC,D,89,0.02,N_TM106,2
9,M,D,80,0.02,N_TM106,2
10,D,M,72,0.02,N_TM106,2
11,MC,M,7,0.0,N_TM106,2
0,B,B,307765,90.56,N_TM107,2
1,D,B,8272,2.43,N_TM107,2
2,MC,MC,7684,2.26,N_TM107,2
3,B,D,6612,1.95,N_TM107,2
4,B,M,5121,1.51,N_TM107,2
5,D,D,3360,0.99,N_TM107,2
6,M,M,573,0.17,N_TM107,2
7,MC,D,164,0.05,N_TM107,2
8,M,B,118,0.03,N_TM107,2
9,D,M,110,0.03,N_TM107,2
10,MC,M,42,0.01,N_TM107,2
11,M,D,17,0.01,N_TM107,2
0,B,B,302480,89.94,N_TM108,2
1,B,M,11481,3.41,N_TM108,2
2,MC,MC,7775,2.31,N_TM108,2
3,D,B,6165,1.83,N_TM108,2
4,B,D,5593,1.66,N_TM108,2
5,D,D,2080,0.62,N_TM108,2
6,D,M,360,0.11,N_TM108,2
7,M,M,253,0.08,N_TM108,2
8,MC,D,80,0.02,N_TM108,2
9,MC,M,36,0.01,N_TM108,2
10,M,B,20,0.01,N_TM108,2
11,M,D,8,0.0,N_TM108,2
0,B,B,300491,88.45,N_TM109,2
1,B,M,10247,3.02,N_TM109,2
2,D,B,8868,2.61,N_TM109,2
3,MC,MC,7721,2.27,N_TM109,2
4,B,D,7463,2.2,N_TM109,2
5,D,D,4105,1.21,N_TM109,2
6,M,M,353,0.1,N_TM109,2
7,D,M,266,0.08,N_TM109,2
8,MC,D,116,0.03,N_TM109,2
9,MC,M,57,0.02,N_TM109,2
10,M,B,29,0.01,N_TM109,2
11,M,D,11,0.0,N_TM109,2
0,B,B,443315,98.22,N_PT101,2
1,MC,MC,8046,1.78,N_PT101,2
0,B,B,351949,99.95,N_PT102,2
1,MC,MC,160,0.05,N_PT102,2
0,B,B,364746,99.96,N_PT103,2
1,MC,MC,156,0.04,N_PT103,2
0,B,B,523183,92.52,N_TM102,3
1,D,B,18410,3.26,N_TM102,3
2,B,D,8729,1.54,N_TM102,3
3,MC,MC,7843,1.39,N_TM102,3
4,D,D,3469,0.61,N_TM102,3
5,M,M,2719,0.48,N_TM102,3
6,MC,D,588,0.1,N_TM102,3
7,B,M,213,0.04,N_TM102,3
8,D,M,114,0.02,N_TM102,3
9,MC,M,85,0.02,N_TM102,3
10,M,B,67,0.01,N_TM102,3
11,M,D,62,0.01,N_TM102,3
0,B,B,491169,87.16,N_TM103,3
1,D,B,28754,5.1,N_TM103,3
2,MC,MC,22559,4.0,N_TM103,3
3,B,D,8249,1.46,N_TM103,3
4,D,D,4921,0.87,N_TM103,3
5,M,M,3880,0.69,N_TM103,3
6,B,M,2717,0.48,N_TM103,3
7,MC,D,716,0.13,N_TM103,3
8,D,M,255,0.05,N_TM103,3
9,MC,M,167,0.03,N_TM103,3
10,M,B,95,0.02,N_TM103,3
11,M,D,70,0.01,N_TM103,3
0,B,B,415772,82.83,N_TM104,3
1,D,B,66231,13.19,N_TM104,3
2,MC,MC,6621,1.32,N_TM104,3
3,B,D,5662,1.13,N_TM104,3
4,D,D,3225,0.64,N_TM104,3
5,M,M,2405,0.48,N_TM104,3
6,B,M,1377,0.27,N_TM104,3
7,M,B,231,0.05,N_TM104,3
8,MC,D,200,0.04,N_TM104,3
9,D,M,112,0.02,N_TM104,3
10,MC,M,90,0.02,N_TM104,3
11,M,D,28,0.01,N_TM104,3
0,B,B,459807,91.85,N_TM105,3
1,D,B,19509,3.9,N_TM105,3
2,MC,MC,6461,1.29,N_TM105,3
3,B,D,6171,1.23,N_TM105,3
4,M,M,4057,0.81,N_TM105,3
5,B,M,1744,0.35,N_TM105,3
6,D,D,1699,0.34,N_TM105,3
7,D,M,683,0.14,N_TM105,3
8,MC,M,175,0.03,N_TM105,3
9,MC,D,131,0.03,N_TM105,3
10,M,B,96,0.02,N_TM105,3
11,M,D,77,0.02,N_TM105,3
0,B,B,417625,83.38,N_TM106,3
1,D,B,48459,9.67,N_TM106,3
2,MC,MC,16433,3.28,N_TM106,3
3,B,D,8625,1.72,N_TM106,3
4,D,D,4738,0.95,N_TM106,3
5,M,M,2059,0.41,N_TM106,3
6,B,M,1472,0.29,N_TM106,3
7,M,B,842,0.17,N_TM106,3
8,MC,D,338,0.07,N_TM106,3
9,MC,M,139,0.03,N_TM106,3
10,D,M,81,0.02,N_TM106,3
11,M,D,71,0.01,N_TM106,3
0,B,B,438463,93.93,N_TM107,3
1,D,B,8182,1.75,N_TM107,3
2,B,D,7027,1.51,N_TM107,3
3,B,M,4697,1.01,N_TM107,3
4,MC,MC,4085,0.88,N_TM107,3
5,D,D,3377,0.72,N_TM107,3
6,M,M,657,0.14,N_TM107,3
7,D,M,101,0.02,N_TM107,3
8,MC,D,89,0.02,N_TM107,3
9,MC,M,82,0.02,N_TM107,3
10,M,B,38,0.01,N_TM107,3
11,M,D,9,0.0,N_TM107,3
0,B,B,413677,89.08,N_TM108,3
1,MC,MC,19180,4.13,N_TM108,3
2,B,M,10222,2.2,N_TM108,3
3,D,B,8729,1.88,N_TM108,3
4,B,D,8141,1.75,N_TM108,3
5,D,D,3019,0.65,N_TM108,3
6,D,M,394,0.08,N_TM108,3
7,MC,M,359,0.08,N_TM108,3
8,MC,D,343,0.07,N_TM108,3
9,M,M,301,0.06,N_TM108,3
10,M,B,21,0.0,N_TM108,3
11,M,D,6,0.0,N_TM108,3
0,B,B,420585,90.37,N_TM109,3
1,D,B,10648,2.29,N_TM109,3
2,B,D,10640,2.29,N_TM109,3
3,B,M,9121,1.96,N_TM109,3
4,MC,MC,8306,1.78,N_TM109,3
5,D,D,5031,1.08,N_TM109,3
6,M,M,409,0.09,N_TM109,3
7,D,M,255,0.05,N_TM109,3
8,MC,M,195,0.04,N_TM109,3
9,MC,D,170,0.04,N_TM109,3
10,M,B,12,0.0,N_TM109,3
11,M,D,6,0.0,N_TM109,3
0,B,B,569398,98.22,N_PT101,3
1,MC,MC,10345,1.78,N_PT101,3
2,M,B,1,0.0,N_PT101,3
0,B,B,509151,99.93,N_PT102,3
1,MC,MC,343,0.07,N_PT102,3
2,M,B,2,0.0,N_PT102,3
0,B,B,527204,99.93,N_PT103,3
1,MC,MC,347,0.07,N_PT103,3
0,B,B,322708,89.61,N_TM102,4
1,MC,MC,28677,7.96,N_TM102,4
2,B,D,3030,0.84,N_TM102,4
3,D,B,2542,0.71,N_TM102,4
4,M,M,1168,0.32,N_TM102,4
5,MC,D,830,0.23,N_TM102,4
6,D,D,788,0.22,N_TM102,4
7,MC,M,282,0.08,N_TM102,4
8,B,M,42,0.01,N_TM102,4
9,M,B,35,0.01,N_TM102,4
10,D,M,15,0.0,N_TM102,4
11,M,D,14,0.0,N_TM102,4
0,B,B,293919,80.84,N_TM103,4
1,MC,MC,40968,11.27,N_TM103,4
2,B,M,10074,2.77,N_TM103,4
3,MC,M,5491,1.51,N_TM103,4
4,D,B,3777,1.04,N_TM103,4
5,B,D,3680,1.01,N_TM103,4
6,M,M,2839,0.78,N_TM103,4
7,MC,D,1334,0.37,N_TM103,4
8,D,D,1145,0.31,N_TM103,4
9,D,M,286,0.08,N_TM103,4
10,M,D,30,0.01,N_TM103,4
11,M,B,28,0.01,N_TM103,4
0,B,B,296517,83.73,N_TM104,4
1,D,B,41400,11.69,N_TM104,4
2,MC,MC,5009,1.41,N_TM104,4
3,B,D,4367,1.23,N_TM104,4
4,B,M,2780,0.79,N_TM104,4
5,D,D,2012,0.57,N_TM104,4
6,M,M,1604,0.45,N_TM104,4
7,M,B,272,0.08,N_TM104,4
8,D,M,45,0.01,N_TM104,4
9,MC,D,43,0.01,N_TM104,4
10,M,D,37,0.01,N_TM104,4
11,MC,M,29,0.01,N_TM104,4
0,B,B,337887,95.41,N_TM105,4
1,B,D,3934,1.11,N_TM105,4
2,MC,MC,3426,0.97,N_TM105,4
3,B,M,3076,0.87,N_TM105,4
4,M,M,2650,0.75,N_TM105,4
5,D,B,2200,0.62,N_TM105,4
6,D,D,622,0.18,N_TM105,4
7,MC,D,106,0.03,N_TM105,4
8,D,M,84,0.02,N_TM105,4
9,M,B,70,0.02,N_TM105,4
10,M,D,47,0.01,N_TM105,4
11,MC,M,30,0.01,N_TM105,4
0,B,B,296637,83.75,N_TM106,4
1,D,B,42003,11.86,N_TM106,4
2,B,D,4600,1.3,N_TM106,4
3,MC,MC,3475,0.98,N_TM106,4
4,B,M,2773,0.78,N_TM106,4
5,D,D,2592,0.73,N_TM106,4
6,M,M,1309,0.37,N_TM106,4
7,M,B,600,0.17,N_TM106,4
8,MC,D,84,0.02,N_TM106,4
9,M,D,49,0.01,N_TM106,4
10,D,M,38,0.01,N_TM106,4
11,MC,M,13,0.0,N_TM106,4
0,B,B,334782,95.4,N_TM107,4
1,B,D,4969,1.42,N_TM107,4
2,B,M,4446,1.27,N_TM107,4
3,D,B,4070,1.16,N_TM107,4
4,D,D,1785,0.51,N_TM107,4
5,M,M,508,0.14,N_TM107,4
6,M,B,129,0.04,N_TM107,4
7,D,M,123,0.04,N_TM107,4
8,MC,MC,70,0.02,N_TM107,4
9,M,D,16,0.0,N_TM107,4
10,MC,M,6,0.0,N_TM107,4
11,MC,D,3,0.0,N_TM107,4
0,B,B,327884,93.41,N_TM108,4
1,B,M,10032,2.86,N_TM108,4
2,B,D,5130,1.46,N_TM108,4
3,D,B,5001,1.42,N_TM108,4
4,D,D,1993,0.57,N_TM108,4
5,D,M,411,0.12,N_TM108,4
6,M,M,294,0.08,N_TM108,4
7,M,B,206,0.06,N_TM108,4
8,MC,MC,62,0.02,N_TM108,4
9,M,D,9,0.0,N_TM108,4
10,MC,M,6,0.0,N_TM108,4
0,B,B,326909,93.19,N_TM109,4
1,B,M,9241,2.63,N_TM109,4
2,B,D,5813,1.66,N_TM109,4
3,D,B,5008,1.43,N_TM109,4
4,D,D,2854,0.81,N_TM109,4
5,M,M,493,0.14,N_TM109,4
6,D,M,256,0.07,N_TM109,4
7,M,B,111,0.03,N_TM109,4
8,MC,MC,92,0.03,N_TM109,4
9,M,D,17,0.0,N_TM109,4
10,MC,M,4,0.0,N_TM109,4
11,MC,D,1,0.0,N_TM109,4
0,B,B,976557,99.67,N_PT101,4
1,MC,MC,3198,0.33,N_PT101,4
0,B,B,981074,99.72,N_PT102,4
1,MC,MC,2724,0.28,N_PT102,4
0,B,B,974455,99.72,N_PT103,4
1,MC,MC,2734,0.28,N_PT103,4
2,M,B,15,0.0,N_PT103,4
0,B,B,447559,90.53,N_TM102,5
1,MC,MC,30897,6.25,N_TM102,5
2,B,D,6745,1.36,N_TM102,5
3,D,B,5464,1.11,N_TM102,5
4,M,M,1398,0.28,N_TM102,5
5,D,D,1060,0.21,N_TM102,5
6,MC,D,986,0.2,N_TM102,5
7,B,M,118,0.02,N_TM102,5
8,M,B,65,0.01,N_TM102,5
9,MC,M,43,0.01,N_TM102,5
10,M,D,20,0.0,N_TM102,5
11,D,M,10,0.0,N_TM102,5
0,B,B,404028,81.97,N_TM103,5
1,MC,MC,62549,12.69,N_TM103,5
2,B,D,7974,1.62,N_TM103,5
3,D,B,6903,1.4,N_TM103,5
4,B,M,4327,0.88,N_TM103,5
5,MC,D,2520,0.51,N_TM103,5
6,D,D,2363,0.48,N_TM103,5
7,M,M,1456,0.3,N_TM103,5
8,MC,M,536,0.11,N_TM103,5
9,D,M,135,0.03,N_TM103,5
10,M,B,52,0.01,N_TM103,5
11,M,D,25,0.01,N_TM103,5
0,B,B,414657,91.52,N_TM104,5
1,D,B,19891,4.39,N_TM104,5
2,B,D,5968,1.32,N_TM104,5
3,MC,MC,4257,0.94,N_TM104,5
4,B,M,3430,0.76,N_TM104,5
5,D,D,2340,0.52,N_TM104,5
6,M,M,1129,0.25,N_TM104,5
7,MC,D,600,0.13,N_TM104,5
8,M,B,370,0.08,N_TM104,5
9,MC,M,250,0.06,N_TM104,5
10,D,M,158,0.03,N_TM104,5
11,M,D,20,0.0,N_TM104,5
0,B,B,426927,94.95,N_TM105,5
1,B,D,4710,1.05,N_TM105,5
2,D,B,4353,0.97,N_TM105,5
3,M,M,4161,0.93,N_TM105,5
4,B,M,3481,0.77,N_TM105,5
5,MC,MC,3352,0.75,N_TM105,5
6,MC,M,1341,0.3,N_TM105,5
7,D,D,727,0.16,N_TM105,5
8,MC,D,346,0.08,N_TM105,5
9,D,M,135,0.03,N_TM105,5
10,M,D,51,0.01,N_TM105,5
11,M,B,38,0.01,N_TM105,5
0,B,B,418254,92.34,N_TM106,5
1,D,B,15179,3.35,N_TM106,5
2,B,D,5630,1.24,N_TM106,5
3,B,M,3560,0.79,N_TM106,5
4,MC,MC,3110,0.69,N_TM106,5
5,M,M,3015,0.67,N_TM106,5
6,D,D,2077,0.46,N_TM106,5
7,MC,M,1348,0.3,N_TM106,5
8,MC,D,339,0.07,N_TM106,5
9,M,B,262,0.06,N_TM106,5
10,D,M,98,0.02,N_TM106,5
11,M,D,54,0.01,N_TM106,5
0,B,B,394650,94.28,N_TM107,5
1,D,B,9014,2.15,N_TM107,5
2,B,D,5840,1.4,N_TM107,5
3,B,M,5462,1.3,N_TM107,5
4,D,D,2531,0.6,N_TM107,5
5,M,B,500,0.12,N_TM107,5
6,M,M,360,0.09,N_TM107,5
7,D,M,175,0.04,N_TM107,5
8,MC,MC,46,0.01,N_TM107,5
9,MC,D,18,0.0,N_TM107,5
10,M,D,12,0.0,N_TM107,5
0,B,B,380250,90.96,N_TM108,5
1,B,M,19634,4.7,N_TM108,5
2,D,B,7909,1.89,N_TM108,5
3,B,D,6658,1.59,N_TM108,5
4,D,D,2403,0.57,N_TM108,5
5,D,M,607,0.15,N_TM108,5
6,M,B,259,0.06,N_TM108,5
7,M,M,239,0.06,N_TM108,5
8,MC,MC,73,0.02,N_TM108,5
9,MC,D,17,0.0,N_TM108,5
10,M,D,3,0.0,N_TM108,5
0,B,B,376634,90.16,N_TM109,5
1,B,M,18816,4.5,N_TM109,5
2,D,B,9896,2.37,N_TM109,5
3,B,D,7165,1.72,N_TM109,5
4,D,D,3720,0.89,N_TM109,5
5,D,M,799,0.19,N_TM109,5
6,M,M,331,0.08,N_TM109,5
7,M,B,284,0.07,N_TM109,5
8,MC,MC,47,0.01,N_TM109,5
9,MC,D,15,0.0,N_TM109,5
10,M,D,10,0.0,N_TM109,5
0,B,B,877660,98.64,N_PT101,5
1,MC,MC,12144,1.36,N_PT101,5
0,B,B,792649,99.91,N_PT102,5
1,MC,MC,714,0.09,N_PT102,5
0,B,B,792463,99.9,N_PT103,5
1,MC,MC,769,0.1,N_PT103,5
0,B,B,311792,72.12,N_TM102,6
